,bid,bid,bid,bid,ask,ask,ask,ask,last,last,last,last,last
,Open,High,Low,Close,Open,High,Low,Close,Open,High,Low,Close,Volume
DateTime,,,,,,,,,,,,,
2023-03-08 06:01:00,32849.6,32851.1,32846.1,32846.6,32854.4,32855.9,32850.9,32851.4,,,,,18
2023-03-08 06:02:00,32847.1,32855.6,32847.1,32855.6,32851.9,32860.4,32851.9,32860.4,,,,,43
2023-03-08 06:03:00,32856.6,32862.1,32856.6,32861.1,32861.4,32866.9,32861.4,32865.9,,,,,32
2023-03-08 06:04:00,32860.6,32864.6,32860.6,32864.1,32865.4,32869.4,32865.4,32868.9,,,,,15
2023-03-08 06:05:00,32864.6,32867.1,32860.6,32861.6,32869.4,32871.9,32865.4,32866.4,,,,,161
2023-03-08 06:06:00,32860.1,32865.1,32859.1,32863.1,32864.9,32869.9,32863.9,32867.9,,,,,161
2023-03-08 06:07:00,32864.1,32865.1,32863.1,32864.1,32868.9,32869.9,32867.9,32868.9,,,,,21
2023-03-08 06:08:00,32864.6,32865.6,32862.6,32864.6,32869.4,32870.4,32867.4,32869.4,,,,,12
2023-03-08 06:09:00,32864.1,32865.1,32861.6,32863.6,32868.9,32869.9,32866.4,32868.4,,,,,14
2023-03-08 06:10:00,32862.6,32863.1,32860.1,32861.1,32867.4,32867.9,32864.9,32865.9,,,,,14
2023-03-08 06:11:00,32860.6,32862.6,32860.6,32862.1,32865.4,32867.4,32865.4,32866.9,,,,,21
2023-03-08 06:12:00,32861.6,32861.6,32855.1,32856.1,32866.4,32866.4,32859.9,32860.9,,,,,11
2023-03-08 06:13:00,32855.6,32856.1,32855.1,32855.1,32860.4,32860.9,32859.9,32859.9,,,,,5
2023-03-08 06:14:00,32855.6,32859.1,32855.1,32858.1,32860.4,32863.9,32859.9,32862.9,,,,,14
2023-03-08 06:15:00,32858.6,32859.6,32857.6,32858.1,32863.4,32864.4,32862.4,32862.9,,,,,8
2023-03-08 06:16:00,32859.6,32861.6,32858.1,32858.1,32864.4,32866.4,32862.9,32862.9,,,,,14
2023-03-08 06:17:00,32858.6,32860.1,32858.1,32858.1,32863.4,32864.9,32862.9,32862.9,,,,,2
2023-03-08 06:18:00,32857.6,32857.6,32854.1,32854.1,32862.4,32862.4,32858.9,32858.9,,,,,4
2023-03-08 06:19:00,32854.6,32855.1,32853.1,32854.1,32859.4,32859.9,32857.9,32858.9,,,,,5
2023-03-08 06:20:00,32854.6,32855.1,32853.1,32853.1,32859.4,32859.9,32857.9,32857.9,,,,,3
2023-03-08 06:21:00,32852.6,32852.6,32849.1,32850.1,32857.4,32857.4,32853.9,32854.9,,,,,13
2023-03-08 06:22:00,32849.6,32850.1,32847.6,32849.1,32854.4,32854.9,32852.4,32853.9,,,,,7
2023-03-08 06:23:00,32849.6,32849.6,32848.1,32849.1,32854.4,32854.4,32852.9,32853.9,,,,,10
2023-03-08 06:24:00,32848.6,32851.6,32848.1,32849.6,32853.4,32856.4,32852.9,32854.4,,,,,2
2023-03-08 06:25:00,32849.1,32849.6,32847.6,32848.6,32853.9,32854.4,32852.4,32853.4,,,,,8
2023-03-08 06:26:00,32849.6,32851.6,32849.6,32850.6,32854.4,32856.4,32854.4,32855.4,,,,,22
2023-03-08 06:27:00,32851.1,32853.1,32850.1,32851.6,32855.9,32857.9,32854.9,32856.4,,,,,4
2023-03-08 06:28:00,32851.1,32852.6,32850.6,32852.1,32855.9,32857.4,32855.4,32856.9,,,,,4
2023-03-08 06:29:00,32851.6,32853.6,32850.6,32852.1,32856.4,32858.4,32855.4,32856.9,,,,,5
2023-03-08 06:30:00,32852.6,32854.6,32851.1,32851.6,32857.4,32859.4,32855.9,32856.4,,,,,10
2023-03-08 06:31:00,32852.1,32856.1,32852.1,32854.1,32856.9,32860.9,32856.9,32858.9,,,,,6
2023-03-08 06:32:00,32854.6,32857.6,32853.6,32857.1,32859.4,32862.4,32858.4,32861.9,,,,,32
2023-03-08 06:33:00,32857.6,32861.6,32856.6,32858.6,32862.4,32866.4,32861.4,32863.4,,,,,17
2023-03-08 06:34:00,32858.1,32859.6,32855.1,32859.1,32862.9,32864.4,32859.9,32863.9,,,,,2
2023-03-08 06:35:00,32859.6,32865.6,32859.6,32864.1,32864.4,32870.4,32864.4,32868.9,,,,,24
2023-03-08 06:36:00,32864.6,32866.1,32862.6,32863.1,32869.4,32870.9,32867.4,32867.9,,,,,10
2023-03-08 06:37:00,32863.6,32865.6,32863.1,32864.1,32868.4,32870.4,32867.9,32868.9,,,,,7
2023-03-08 06:38:00,32864.6,32866.1,32864.1,32864.1,32869.4,32870.9,32868.9,32868.9,,,,,16
2023-03-08 06:39:00,32864.6,32866.1,32863.6,32864.6,32869.4,32870.9,32868.4,32869.4,,,,,20
2023-03-08 06:40:00,32864.1,32866.6,32861.1,32861.1,32868.9,32871.4,32865.9,32865.9,,,,,10
2023-03-08 06:41:00,32861.6,32862.1,32858.1,32861.1,32866.4,32866.9,32862.9,32865.9,,,,,24
2023-03-08 06:42:00,32861.6,32871.1,32861.6,32868.1,32866.4,32875.9,32866.4,32872.9,,,,,29
2023-03-08 06:43:00,32868.6,32868.6,32865.1,32868.1,32873.4,32873.4,32869.9,32872.9,,,,,17
2023-03-08 06:44:00,32868.6,32870.1,32863.1,32865.1,32873.4,32874.9,32867.9,32869.9,,,,,18
2023-03-08 06:45:00,32865.6,32868.1,32863.1,32864.1,32870.4,32872.9,32867.9,32868.9,,,,,9
2023-03-08 06:46:00,32864.6,32865.6,32864.1,32864.1,32869.4,32870.4,32868.9,32868.9,,,,,4
2023-03-08 06:47:00,32864.6,32866.1,32864.1,32864.1,32869.4,32870.9,32868.9,32868.9,,,,,6
2023-03-08 06:48:00,32864.6,32865.1,32863.1,32863.1,32869.4,32869.9,32867.9,32867.9,,,,,2
2023-03-08 06:49:00,32863.6,32865.1,32862.6,32863.6,32868.4,32869.9,32867.4,32868.4,,,,,8
2023-03-08 06:50:00,32864.1,32866.1,32862.6,32865.1,32868.9,32870.9,32867.4,32869.9,,,,,12
